Time Period,Industrial Production
2013 Q1,50127.3
2013 Q2,55266.2
2013 Q3,55882.1
2013 Q4,61057.5
2014 Q1,52659.5
2014 Q2,58432.3
2014 Q3,58904.0
2014 Q4,63201.5
2015 Q1,53471.1
2015 Q2,59327.9
2015 Q3,58993.0
2015 Q4,63176.9
2016 Q1,53666.4
2016 Q2,60839.2
2016 Q3,61902.5
2016 Q4,68998.4
2017 Q1,60909.3
2017 Q2,68099.8
2017 Q3,69327.2
2017 Q4,76782.9
2018 Q1,66905.6
2018 Q2,75122.1
2018 Q3,76239.6
2018 Q4,82822.1
2019 Q1,69892.4
2019 Q2,78490.1
2019 Q3,78196.3
2019 Q4,85279.9
2020 Q1,63517.6
2020 Q2,79015.9
2020 Q3,80570.6
2020 Q4,89798.9
2021 Q1,81144.7
2021 Q2,94071.1
2021 Q3,93386.3
2021 Q4,105943.5
2022 Q1,92309.5
2022 Q2,99222.5
2022 Q3,98464.7
2022 Q4,105047.0
2023 Q1,93487.8
2023 Q2,99017.3
2023 Q3,99209.8
2023 Q4,107388.2
