Time Period,Real GDP
2013 Q1,129449.6
2013 Q2,143518.7
2013 Q3,152222.7
2013 Q4,167772.3
2014 Q1,140759.8
2014 Q2,156489.6
2014 Q3,165484.7
2014 Q4,180828.9
2015 Q1,151137.9
2015 Q2,168549.7
2015 Q3,176597.7
2015 Q4,192572.9
2016 Q1,162410.0
2016 Q2,181408.2
2016 Q3,191010.6
2016 Q4,211566.2
2017 Q1,181867.7
2017 Q2,201950.3
2017 Q3,212789.3
2017 Q4,235428.7
2018 Q1,202035.7
2018 Q2,223962.2
2018 Q3,234474.3
2018 Q4,258808.9
2019 Q1,217168.3
2019 Q2,241502.6
2019 Q3,251046.3
2019 Q4,276798.0
2020 Q1,205244.8
2020 Q2,248347.7
2020 Q3,264355.7
2020 Q4,295618.8
2021 Q1,249200.2
2021 Q2,282849.2
2021 Q3,291288.1
2021 Q4,325899.4
2022 Q1,270344.5
2022 Q2,292446.7
2022 Q3,307942.1
2022 Q4,333990.7
2023 Q1,284423.0
2023 Q2,308292.6
2023 Q3,319976.3
2023 Q4,347890.1
