Time Period,Retail Sales
2013 Q1,52923.6
2013 Q2,55313.3
2013 Q3,58052.7
2013 Q4,65562.9
2014 Q1,59401.8
2014 Q2,62117.4
2014 Q3,64952.1
2014 Q4,73243.2
2015 Q1,68168.4
2015 Q2,70861.8
2015 Q3,74502.8
2015 Q4,84850.8
2016 Q1,75342.3
2016 Q2,78113.9
2016 Q3,82343.4
2016 Q4,93834.7
2017 Q1,83591.1
2017 Q2,86545.3
2017 Q3,90809.8
2017 Q4,103083.2
2018 Q1,87580.8
2018 Q2,89742.6
2018 Q3,94281.4
2018 Q4,106687.6
2019 Q1,95177.1
2019 Q2,97419.9
2019 Q3,101464.5
2019 Q4,114974.8
2020 Q1,79349.7
2020 Q2,93676.5
2020 Q3,101067.8
2020 Q4,118656.7
2021 Q1,106452.3
2021 Q2,106683.5
2021 Q3,106153.0
2021 Q4,122766.0
2022 Q1,102699.3
2022 Q2,101772.6
2022 Q3,109872.9
2022 Q4,119427.9
2023 Q1,113566.2
2023 Q2,112665.2
2023 Q3,114519.4
2023 Q4,129388.2
