Time Period,Industrial Production
2013 Q1,112872.0
2013 Q2,120516.1
2013 Q3,121584.7
2013 Q4,123830.0
2014 Q1,120750.5
2014 Q2,123460.3
2014 Q3,123649.9
2014 Q4,126446.9
2015 Q1,121214.5
2015 Q2,123411.1
2015 Q3,121535.8
2015 Q4,124092.1
2016 Q1,120705.5
2016 Q2,127758.1
2016 Q3,125184.1
2016 Q4,130864.9
2017 Q1,131441.3
2017 Q2,131422.0
2017 Q3,130854.7
2017 Q4,136618.3
2018 Q1,133505.2
2018 Q2,135341.2
2018 Q3,134716.7
2018 Q4,139479.2
2019 Q1,136927.7
2019 Q2,134445.7
2019 Q3,137026.4
2019 Q4,135749.9
2020 Q1,130042.6
2020 Q2,96946.1
2020 Q3,124206.3
2020 Q4,134481.0
2021 Q1,128044.1
2021 Q2,130748.1
2021 Q3,132171.8
2021 Q4,140318.2
2022 Q1,142343.7
2022 Q2,150183.0
2022 Q3,153473.0
2022 Q4,160904.9
2023 Q1,162087.1
2023 Q2,164275.9
2023 Q3,159462.2
2023 Q4,163118.8
