Time Period,Real GDP
2013 Q1,537974
2013 Q2,541586
2013 Q3,546064
2013 Q4,549709
2014 Q1,554183
2014 Q2,559331
2014 Q3,563694
2014 Q4,567619
2015 Q1,569150
2015 Q2,572673
2015 Q3,574836
2015 Q4,578068
2016 Q1,580110
2016 Q2,583383
2016 Q3,585856
2016 Q4,589476
2017 Q1,594423
2017 Q2,598176
2017 Q3,601961
2017 Q4,606396
2018 Q1,606785
2018 Q2,607775
2018 Q3,609653
2018 Q4,610481
2019 Q1,614936
2019 Q2,616853
2019 Q3,621227
2019 Q4,621229
2020 Q1,604719
2020 Q2,481769
2020 Q3,562648
2020 Q4,570338
2021 Q1,564411
2021 Q2,605353
2021 Q3,615459
2021 Q4,624592
2022 Q1,629149
2022 Q2,631258
2022 Q3,631977
2022 Q4,634044
2023 Q1,634612
2023 Q2,634624
2023 Q3,633956
2023 Q4,631825
