Time Period,Retail Sales
2013 Q1,82.6
2013 Q2,82.9
2013 Q3,83.9
2013 Q4,84.0
2014 Q1,85.1
2014 Q2,86.2
2014 Q3,86.2
2014 Q4,87.8
2015 Q1,89.0
2015 Q2,89.8
2015 Q3,90.2
2015 Q4,90.8
2016 Q1,92.7
2016 Q2,93.5
2016 Q3,94.8
2016 Q4,95.8
2017 Q1,94.5
2017 Q2,95.6
2017 Q3,96.1
2017 Q4,96.8
2018 Q1,95.6
2018 Q2,97.4
2018 Q3,98.8
2018 Q4,99.4
2019 Q1,100.3
2019 Q2,100.8
2019 Q3,101.8
2019 Q4,100.8
2020 Q1,98.5
2020 Q2,89.4
2020 Q3,105.4
2020 Q4,104.8
2021 Q1,97.9
2021 Q2,108.2
2021 Q3,105.6
2021 Q4,105.2
2022 Q1,102.9
2022 Q2,100.6
2022 Q3,98.8
2022 Q4,97.7
2023 Q1,97.7
2023 Q2,98.1
2023 Q3,96.8
2023 Q4,95.8
