Time Period,Industrial Production
2013 Q1,295.8640
2013 Q2,297.2049
2013 Q3,298.4094
2013 Q4,300.4359
2014 Q1,302.4805
2014 Q2,306.6439
2014 Q3,308.3693
2014 Q4,310.1740
2015 Q1,306.7158
2015 Q2,302.4518
2015 Q3,302.6388
2015 Q4,298.5400
2016 Q1,296.5258
2016 Q2,295.4639
2016 Q3,296.2431
2016 Q4,296.1086
2017 Q1,296.3006
2017 Q2,300.5066
2017 Q3,299.4670
2017 Q4,303.7257
2018 Q1,305.4114
2018 Q2,308.9617
2018 Q3,311.5184
2018 Q4,311.9874
2019 Q1,309.0210
2019 Q2,307.2349
2019 Q3,307.2472
2019 Q4,305.6793
2020 Q1,300.6150
2020 Q2,262.3665
2020 Q3,286.8245
2020 Q4,291.6824
2021 Q1,292.5136
2021 Q2,297.1667
2021 Q3,299.1035
2021 Q4,302.8174
2022 Q1,305.7336
2022 Q2,308.6907
2022 Q3,309.7534
2022 Q4,308.3766
2023 Q1,308.3622
2023 Q2,308.5859
2023 Q3,309.4754
2023 Q4,308.0958
