Time Period,Real GDP
2013 Q1,17662.4
2013 Q2,17709.671
2013 Q3,17860.45
2013 Q4,18016.147
2014 Q1,17953.974
2014 Q2,18185.911
2014 Q3,18406.941
2014 Q4,18500.031
2015 Q1,18666.621
2015 Q2,18782.243
2015 Q3,18857.418
2015 Q4,18892.206
2016 Q1,19001.69
2016 Q2,19062.709
2016 Q3,19197.938
2016 Q4,19304.352
2017 Q1,19398.343
2017 Q2,19506.949
2017 Q3,19660.766
2017 Q4,19882.352
2018 Q1,20044.077
2018 Q2,20150.476
2018 Q3,20276.154
2018 Q4,20304.874
2019 Q1,20431.641
2019 Q2,20602.275
2019 Q3,20843.322
2019 Q4,20985.448
2020 Q1,20693.238
2020 Q2,19056.617
2020 Q3,20548.793
2020 Q4,20771.691
2021 Q1,21058.379
2021 Q2,21389.005
2021 Q3,21571.421
2021 Q4,21960.388
2022 Q1,21903.85
2022 Q2,21919.222
2022 Q3,22066.784
2022 Q4,22249.459
2023 Q1,22403.435
2023 Q2,22539.418
2023 Q3,22780.933
2023 Q4,22960.6
