Time Period,Retail Sales
2013 Q1,1108067.0
2013 Q2,1107270.0
2013 Q3,1117602.0
2013 Q4,1123454.0
2014 Q1,1133539.0
2014 Q2,1160819.0
2014 Q3,1168573.0
2014 Q4,1169916.0
2015 Q1,1160829.0
2015 Q2,1180158.0
2015 Q3,1191331.0
2015 Q4,1186770.0
2016 Q1,1188574.0
2016 Q2,1201972.0
2016 Q3,1213119.0
2016 Q4,1225283.0
2017 Q1,1246092.0
2017 Q2,1247121.0
2017 Q3,1259520.0
2017 Q4,1290945.0
2018 Q1,1297427.0
2018 Q2,1312851.0
2018 Q3,1318343.0
2018 Q4,1325384.0
2019 Q1,1324796.0
2019 Q2,1345766.0
2019 Q3,1361533.0
2019 Q4,1367205.0
2020 Q1,1342017.0
2020 Q2,1294455.0
2020 Q3,1453745.0
2020 Q4,1472525.0
2021 Q1,1560856.0
2021 Q2,1648402.0
2021 Q3,1625683.0
2021 Q4,1675840.0
2022 Q1,1731846.0
2022 Q2,1774783.0
2022 Q3,1768920.0
2022 Q4,1765897.0
2023 Q1,1792376.0
2023 Q2,1789656.0
2023 Q3,1811466.0
2023 Q4,1821361.0
